filename,text
TE_BABJI_000000091,bIjepI pracAraMlo gAli janArdan raెDDi
TE_BABJI_000000092,A viSayaMlo dezaMlone taొli rASTraMgA AMdhrapradez
TE_BABJI_000000094,pArlamaెMTu sAkSigA ఎMDagaDatAM maMtrulu
TE_BABJI_000000095,bAMbu tayArucesi roDDupakkana paెDadAmanukunnADu tIrA
TE_BABJI_000000096,brekiMg nyUs  amaెrikAlo kAlpula kalakalaM
TE_BABJI_000000097,IsIaiఎllo udyogAlu
TE_BABJI_000000098,nidhula saMgati caెppAlsiMde sIఎMku ఎnnikala saMghaM SAk
TE_BABJI_000000099,tupAnu sahAyaka caryalapai caMdrabAbu TaెlikAnpharaెns
TE_BABJI_000000100,avamAnAlaెdurkaొnna coTe gauravaM paొMdA
TE_BABJI_000000101,taెlugu sabhallo alizaెTTi prabha
TE_BABJI_000000102,ekapakSa nirNayaMpai asaMtRptito unnAM  cADa vaెMkaT raెDDi
TE_BABJI_000000103,ravicaMdran azvinpai mAjI kIpar kirmANI kAmaెMT
TE_BABJI_000000104,ugravAdi maraNaMpai mAjI sIఎM SAkiMg kAmaెMTs
TE_BABJI_000000105,tyAgAlaku gurtugA
TE_BABJI_000000106,raMgasthalaM aMdarikI naccutuMdi mis avvaొddu rAm caraN
TE_BABJI_000000107,rAtriveLa priyuDito bhArya adi cUsina bharta
TE_BABJI_000000108,DayAlatus
TE_BABJI_000000109,arudaina ghanata sAdhiMcina ఎMఎs dhonI
TE_BABJI_000000110,A cAklaెT phyAkTarIlo
TE_BABJI_000000111,baruvu taggeMduku
TE_BABJI_000000112,urjit paTel rAjInAmApai pradhAni modI emannAraMTe
TE_BABJI_000000113,kavitalaku AhvAnaM
TE_BABJI_000000114,jUn na big bAs Ila vestU vaccestunnADu
TE_BABJI_000000115,kukka rodanaku tallaDillina sthAnikulu
TE_BABJI_000000117,caMdrabAbu cesina abhivRddhipaine kesIAr batukutunnAru
TE_BABJI_000000118,visigipoyi dIkSaku digAM AdinArAyaNaraెDDi
TE_BABJI_000000119,maro kaొtta Aphar prakaTiMcina bIఎsఎnఎl
TE_BABJI_000000120,yUpIe laొMgipoyiMdi raMgarAjanku caెppinA paTTiMcukoledu
TE_BABJI_000000121,ఒke kAnpulo mugguru ADapillalu
TE_BABJI_000000122,villaMbulato AdivAsIla yuddhaM prANApAya sthitilo naluguru
TE_BABJI_000000123,ఎnnikala saMghaM kesIArki sAyapaDelA vyavaharistoMdi marri
TE_BABJI_000000124,manmohan korite Ayanaొkkarike sinimA cUpistAM
TE_BABJI_000000125,vizvAzruvu
TE_BABJI_000000126,pratyeka hodA kosaM maddatu kUDagaDutunna ketiraెDDi
TE_BABJI_000000127,kaొMDapallialjImars
TE_BABJI_000000128,vijayavADalo maro minI innar riMg
TE_BABJI_000000129,gAyatri saెnsAr riporT vaccesiMdi
TE_BABJI_000000130,TaెnSan puTTistunna saెpTaెMbar
TE_BABJI_000000131,Akupaccani padArthAla kaSAyame patraharitaM TArgaెT TTiArTi bayAlajI
TE_BABJI_000000132,jagityAlalo kAlpula kalakalaM
TE_BABJI_000000133,mAlyA appagiMtapai tudi tIrpu tedI ide
TE_BABJI_000000134,jAma aiskrIm
TE_BABJI_000000135,ఎnnArailu aMTe Dabbulu piMDeddAM anukuMTunnAru pavan
TE_BABJI_000000136,tripuralo bIjepIki bhAgasvAmi pArTI SAk
TE_BABJI_000000137,ugravAdula maro ghAtukaM kAnisTebul apaharaNahatya
TE_BABJI_000000138,rAhul paryaTanalo hanumaMtarAvuku avamAnaM
TE_BABJI_000000139,hAT kAliMg kerAph bhuvanagiri
TE_BABJI_000000140,nayA kAr ఒkkasAri chArjiMg paెDite  kimI mailej
TE_BABJI_000000141,amma ledani kalata caెMdi iMTar vidyArthini Atmahatya
TE_BABJI_000000142,marI aMta piccoDilA kanipistunnAnA krikaెTar SamI
TE_BABJI_000000143,kharjUra nagaraM
TE_BABJI_000000144,hAmIlu amalu ceste TIDIpIbIjepI madhya vivAdAluMDavu caMdrabAbu
TE_BABJI_000000145,agniliMgAkAraMlo kanipiMce aruNAcalezvaruDu
TE_BABJI_000000146,rahAne badulu rohitnu aMduke tIsukunnAM kohlI
TE_BABJI_000000147,vaMkAyato vaెraiTIlu
TE_BABJI_000000148,naెhrA nAku iccina salahA ade bayaTapaెTTina umeS yAdav
TE_BABJI_000000149,inphosis adbhutaM
TE_BABJI_000000150,vivAdAspadamaina kaiph TvIT maMDipaDutunna phyAns
TE_BABJI_000000151,naiparlo udyogAlu
TE_BABJI_000000152,vALlaku nA DyAnsulaMTe iSTaM
TE_BABJI_000000153,iMjinIriMg ayipogAne aMdarilA AlociMcakuMDA
TE_BABJI_000000154,maెssI kaెpTaెngA panikirADu
TE_BABJI_000000155,taెlaMgANalo bhArIgA aieఎs adhikArula badilIlu
TE_BABJI_000000156,kRSNuDu rathAnni akkaDe ఎMduku nilipADaMTe
TE_BABJI_000000157,tIvra dumAraM reputunna TIDIpI neta posTu
TE_BABJI_000000158,dammuMTe bassu dATi cUDaMDi
TE_BABJI_000000159,guMDaెpoTunu muMdugAne gurtiMce TaెknAlajI
TE_BABJI_000000160,vanDelato AraMbhaM
TE_BABJI_000000161,bIjepIki oTu veyavaddani vidyArthulato pratijJa
TE_BABJI_000000162,praiveT varsiTIla darakhAstulapai kamiTI erpATu
TE_BABJI_000000163,nATiki bhAratlo vaMTa nUnaెla viniyogaM  koTla Tannulu
TE_BABJI_000000164,revaMt iMTlo aiTI sodAlu o bilDar vadda bhArIgA nagadu svAdhInaM
TE_BABJI_000000165,bhArya batakadani taెlisi
TE_BABJI_000000166,raitulaku keMdraM eMcesiMdi
TE_BABJI_000000167,gurupUrNimanADu vyAsuDike pUja
TE_BABJI_000000168,bAlakRSNanu chAns aDigina darzakeMdruDu
TE_BABJI_000000169,mAnava prayatnaM cezAke
TE_BABJI_000000170,alA ceyAlaMTe eDupaొccedi ritikAsiMg
TE_BABJI_000000171,pArlamaెMTu raddu rAjyAMga viruddhaM  suprIMkorTu
TE_BABJI_000000172,mANik sarkAr vaెrsas modI
TE_BABJI_000000173,eLla yuvatiki gUgullo koTi rUpAyala pyAkejIto jAb
TE_BABJI_000000174,alI tammuDini ఎvarU sarigA vADukoledu darzakuDu
TE_BABJI_000000175,kilomITarla dUraM prayANiMci kasTamarnu cAvagaొTTADu
TE_BABJI_000000176,bIఎMఎs gaెlupu saMbarAlu
TE_BABJI_000000177,jakartAlo jayaho
TE_BABJI_000000178,ఎMఎs dhonI lekuMTe nA jIvitame ledu hArthik pAMDyA
TE_BABJI_000000179,gurukulAllone uttama phalitAlu
TE_BABJI_000000180,DisaెMbar  tarvAta jarigedi ide  hArdik paTel
TE_BABJI_000000181,vAri snehAniki avayava lopaM aDDukAledupaigA
TE_BABJI_000000182,big brekiMg I vAraM ఎlimineT ayina taొli vyakti itane
TE_BABJI_000000183,rAhul daెbbaku gUgul bATapaTTina naెTijanlu
TE_BABJI_000000184,pratipADulo kaొnasAgutunna jagan pAdayAtra
TE_BABJI_000000185,prapaMcaMlo ati sannaTi porTabul haెcpI priMTar
TE_BABJI_000000186,nenu vArilA kAdu rAjakIyAlapai rajanIkAMt kIlaka vyAkhyalu
TE_BABJI_000000187,pavan puTTina rojuna caెrrI phasTluk
TE_BABJI_000000188,prapaMcakap gaెlavaDame nA lakSyaM pRthvISA
TE_BABJI_000000189,vidyuttu zAkhalo  kaొluvulu
TE_BABJI_000000190,aMdukosaM marosAri naDuM bigiMcina prabhAs
TE_BABJI_000000191,emI ceyakuMDA rikArDulloki ఎkkADu
TE_BABJI_000000192,modI caెppedaెMtacesedaెMta
TE_BABJI_000000193,nA baMgaLA nAke ivvaMDiyaDyUrappa maData pecI
TE_BABJI_000000194,SamI dubAyki ఎMdukaెLlADu bIsIsIaini prazniMcina polIsulu
TE_BABJI_000000195,bAlkasumannu oDiMcabotunnA sujAta
TE_BABJI_000000196,uttam utta amAyakuDukAMgraెs sIniyar neta saMcalana vyAkhyalu
TE_BABJI_000000197,mana byAclo ammAyilu  kirAk pArTI Trailar
TE_BABJI_000000198,pavar sisTaM ApareSans kArpaొreSanlo udyogAlu
TE_BABJI_000000199,satImaNiki kAnukagA virAT zatakaM murisipoyina naెTijanlu
TE_BABJI_000000200,vispaSTa tIrpe zreyaskaraM
TE_BABJI_000000201,ivi sarigA unnAyA
TE_BABJI_000000202,vAraెvATsan
TE_BABJI_000000203,amaెrikAlo vidyA parirakSaNa
TE_BABJI_000000204,meDAraM jAtaraku rAhul uttam
TE_BABJI_000000205,TIDIpI iMcArj padavi ఎvarini variMceno
TE_BABJI_000000206,sAyipallavini taొlagiMci rAzIkhannAni tIsukunnAraTa
TE_BABJI_000000207,guMTUru jillAlo usuru tIsina piDugulu
TE_BABJI_000000208,jalsAle jIvitAnni mArcesAy
TE_BABJI_000000209,mitimIrina ఎkspojiMgA nAkeM anipiMcalede nidhi
TE_BABJI_000000210,rilayans samAvezaMlo saMcalana Apharlu prakaTiMcina mukheS aMbAnI
TE_BABJI_000000211,jArkhaMD spinnar nadIm rikArDu spaెl
TE_BABJI_000000212,ఎlimineTar rAjasthAnpai kolkatA adbhuta vijayaM
TE_BABJI_000000213,kaLlu caెdirelA kanvaెnSan saెMTar
TE_BABJI_000000214,iMdravaెlli caitanyaM vaెllivirustUne uMdi
TE_BABJI_000000215,sairA katha muMdu bAlayya vaddaku vaెLLiMdA
TE_BABJI_000000216,taెlaMgANa pragatipai carcAgoSThulu jaragAli
TE_BABJI_000000217,unnaTTuMDi arupulu kekalu
TE_BABJI_000000218,kathAminAr musliM nepathya kathalu
TE_BABJI_000000219,vAri baMdhaM jagamaెrigina satyaM kaLA vaెMkaTrAvu
TE_BABJI_000000220,golkaొMDalo byATarI vAhanAlu
TE_BABJI_000000221,taొli vanDelo bhArat ghana vijayaM viMDIs cittu
TE_BABJI_000000222,vIkaెMD kAmaెMT bai Arke lopAyikAri avagAhanapai spaSTamaina saMketAlu
TE_BABJI_000000223,sITlato marosAri pradhAnigA deveMdra phaDnavIs
TE_BABJI_000000224,I naెla  nuMci laెkcarar iMTarvyUlu
TE_BABJI_000000225,harikRSNa maraNaMto kebinaెT vistaraNa AlasyamaiMdi caMdrabAbu
TE_BABJI_000000226,nRsiMhAvatAraM
TE_BABJI_000000227,marI aMtalA ఎgiripaDakaMDi kohlI senaku mAjI koc curaka
TE_BABJI_000000228,AsIs kaెpTaెnki arudaina gauravaM
TE_BABJI_000000229,oఎnjIsIlo udyogAlu
TE_BABJI_000000230,DI ke ziva kumArku padavipai devaె gauDa spaMdana
TE_BABJI_000000231,AkaTTukuMTunna  viఎphఎks mekiMg vIDiyo
TE_BABJI_000000232,praNaynu caMpinaMduku bAdhaledu mArutirAvu
TE_BABJI_000000233,rAmuDu korukunnappuDe rAmAlayaM DipyUTI sIఎM
TE_BABJI_000000234,ఎnaiఎnlo aMtarjAtIya sadassu
TE_BABJI_000000235,jagan vaivIlanu ekipAresina vaisIpI neta Astulu karigipoyAyaMTU Avedana
TE_BABJI_000000236,zrIkAkuLaMlo sIఎM caMdrabAbu
TE_BABJI_000000237,vinaya vidheya rAma prI rilIj veDukaku cIph gaెsT ఎvaraMTe
TE_BABJI_000000238,aMganvADIlu AzAvarkarlaku caMdrabAbu varAlu
TE_BABJI_000000239,guMDaె karige kuMcaె katha
TE_BABJI_000000240,dUkuDu kaొnasAgistunna jiyo vaెnakabaDipotunna ఎyirTaెl
TE_BABJI_000000241,sirAj kamAl
TE_BABJI_000000242,sirIs paTTeyAlani
TE_BABJI_000000243,vinaya vidheya rAma Trailarku koTi DijiTal vyUs
TE_BABJI_000000244,smArT bADIgArD
TE_BABJI_000000245,pannu bakAyilu raddu ceyaledu
TE_BABJI_000000246,phiphAkaplo bhAratIyaM
TE_BABJI_000000247,apArTmaెMTlo mUDu mRtadehAlu bhartapai anumAnAlu
TE_BABJI_000000248,mainAriTI hodAkai ArATamaెMduku
TE_BABJI_000000249,jaiTlI saMrakSaNa bATalo sAgipo
TE_BABJI_000000250,maMTallo railu iMjan Draivar samayasphUrtito tappina muppu
TE_BABJI_000000251,yuvakuDi hatyaku vivAhetara saMbaMdhame kAraNamA
TE_BABJI_000000252,pradhAna maddatu
TE_BABJI_000000253,munsipal kamiSanargA vizAkha yuvati
TE_BABJI_000000254,TUtpesTuto pegu kensar
TE_BABJI_000000255,madhyAhnaM sAdhAraNaMgA maెrugu
TE_BABJI_000000256,pAk abhimAnulni ghoraMgA Trol cesina aisIsI
TE_BABJI_000000257,ఎnTIArolo udyogAlu
TE_BABJI_000000258,pisTal pogaొTTukunna mAjI maMtri ganmaెn
TE_BABJI_000000259,bAlikalapai akRtyAlanu nirasistU kavitvaM
TE_BABJI_000000260,akhila bhArata sarvIsulu avasaramA
TE_BABJI_000000261,ఎph yuddha vimAnAla raెkkala tayArI bhAratlone  lAkhID mArTin
TE_BABJI_000000262,mahiLalaku akkaDa pUrti svecchaniccAru
TE_BABJI_000000263,pAlakurtilo kesIAr ఎnnikala pracAra sabha
TE_BABJI_000000264,mArkaెTpai avizvAsa meghaM
TE_BABJI_000000265,utkaMTha poruku sarvaM siddhaM
TE_BABJI_000000266,padmAvati ammavAri brahmotsavAllo sAMskRtika zobha
TE_BABJI_000000267,zaktiki mUlaM sUryuDu poTI parIkSala pratyekaM
TE_BABJI_000000268,TIcar baెsT
TE_BABJI_000000269,aipIఎl adbhuta rikArDunu samaM cesina narain
TE_BABJI_000000270,nallagaొMDa paTTaNAbhivRddhiki rUkoTlu
TE_BABJI_000000271,prati strI mAtRsvarUpiNe
TE_BABJI_000000272,mahiLalapai nerAlu niMditullo ఎMpIlu ఎmmaెlyelu
TE_BABJI_000000273,ఒkka prakaTana nA jIvitAnne mArcesiMdi zASA caెtri
TE_BABJI_000000274,ayodhya nirIkSaNa phaliMcedaెnnaDu
TE_BABJI_000000275,A vArtalannI avAstavaM klAriTI iccina janasena
TE_BABJI_000000276,adi caMdrabAbu puNyame
TE_BABJI_000000277,TAksIvAlA khAtAlo  koTlu
TE_BABJI_000000278,jI sevalaku bIఎsఎnఎlto ఎriksan ఒppaMdaM
TE_BABJI_000000279,taెlaMgANa paTTuku cainA TaెknAlajI
TE_BABJI_000000280,janavari  nuMci daLitatejaMtaెlugudezaM payyAvula
TE_BABJI_000000281,bhAvi pradhAnipai kapil sibAl josyaM
TE_BABJI_000000282,epI kebinaెT saMcalana nirNayaM aiTI adhikArulaku saెkyuriTI baMd
TE_BABJI_000000283,taెlaMgANalo TIDIpI kAMgraెs paొttupai dAdApugA klAriTI
TE_BABJI_000000284,pIsIbIlo kaొttagA  maMdi ఎnalisTulu
TE_BABJI_000000285,rAyal chAlaెMjars kaొtta koc ఎvaraMTe
TE_BABJI_000000286,taెlaMgANa AMdhra boNI
TE_BABJI_000000287,aiఎl aMD ఎphఎspai vicAraNa ceyaొddu
TE_BABJI_000000288,TIcar kaDupulo aDugu spAMji miMgiMdaMTunna vaidyulu
TE_BABJI_000000289,bhArya snAnaM ceyaDaM ledani bharta viDAkulu
TE_BABJI_000000290,janasenaku ఎlAMTi DimAMDlu paెTTabotunnAru
TE_BABJI_000000291,thrilliMg res I sAri amarAvatilo
TE_BABJI_000000292,taMDrini jaillo paెTTinaMduku sIఎMku thyAMks lAlU tanayuDu
TE_BABJI_000000293,ఎTTakelaku marorailu
TE_BABJI_000000294,rAyalasIma racayitala samAvezaM
TE_BABJI_000000295,jUlai  nuMci sITaెT darakhAstulu
TE_BABJI_000000296,TIvIlu gRhopakaraNAla dharala paెMpu tvaralo
TE_BABJI_000000297,tirumala naDakadArilo kalakalaM
TE_BABJI_000000298,zrIvidyAniketan prabhaMjanaM
TE_BABJI_000000299,pramukha krikaెTar kannumUta
TE_BABJI_000000300,epI ఎnnikalapai vismayAniki guricesina sarve phalitAlu
TE_BABJI_000000301,vivAhetara saMbaMdhAnni bajArukIDciMdani bhAryanu caMpina bharta
TE_BABJI_000000302,pavan kalyAN nUjivIDu railvesTeSanku rAvaDaMto
TE_BABJI_000000303,anumAnaM paెnubhUtamai
TE_BABJI_000000304,mArpu kosaM tapiMcina vizvamAnavuDu
TE_BABJI_000000305,keraLa kosaM arudaina bahumati virALamiccina cinnAri
TE_BABJI_000000306,diSTibaొmmaku vadhuvu kAvalaెnu
TE_BABJI_000000307,lAyarpai dADi cesi pAripotuMDagA
TE_BABJI_000000308,vATsapku dITaina maెsejiMg yAplu
TE_BABJI_000000309,paMcAyatI saెkraTarI taెlugu mIDiyaM abhyarthulaku iMgliSulo praznalu
TE_BABJI_000000310,TIArఎs netalni gaెlipiste prajala raktaM tAgutAru komaTiraెDDi
TE_BABJI_000000311,raెMDo TaెsTlo iMglaMD adbhuta vijayaM
TE_BABJI_000000312,byAMk Aph iMDiyA lAbhaM rU koTlu
TE_BABJI_000000313,nalgaొMDa jillAlo TIArఎs ఒkka sITu kUDA gaెlavadu
TE_BABJI_000000314,AdhyAtmikatanu nAzanaM cese atyAza
TE_BABJI_000000315,vijay devarakaొMDaku varuN viSaెs
TE_BABJI_000000316,ఎyir iMDiyA raెDai sarvIsulu
TE_BABJI_000000317,premiMcakapote ninnu caMpi nenu canipotA ani baెdiriMci
TE_BABJI_000000318,baొbbililo basa ceyanunna pavan
TE_BABJI_000000320,silabas taggiMpunaku kasarattu
TE_BABJI_000000321,durgADa pAmu kadalakuMDA anni rojulu uMDaTAniki kAraNaM
TE_BABJI_000000322,pavan sabhalo abhimAni halcal
TE_BABJI_000000323,phyAkT arhata parIkSa
TE_BABJI_000000324,taెlaMgANaku garvakAraNaM
TE_BABJI_000000325,A alavATu Ayanaku poyedaెlA
TE_BABJI_000000326,sikkulaku upazamanaM
TE_BABJI_000000327,panulu ceyaDaM mAneste panidaొMgale azok gajapatirAju
TE_BABJI_000000328,kesIAr panaipoyiMdi prajalu ghorI kaDatAru uttam
TE_BABJI_000000329,A ఎnimidi pAzAlatone adharmaM
TE_BABJI_000000330,pijjAla TApiMg taggiste sthUlakAyaM mAyaM
TE_BABJI_000000331,arjunika grAMDmAsTar
TE_BABJI_000000333,brekiMg mAjI ఎmmaెlye kannumUta
TE_BABJI_000000334,idi kSamiMcarAni neraM jesI
TE_BABJI_000000335,jiyo ఎphaెkT  vela maMdi udyogulu auT
TE_BABJI_000000336,miriyAla annaM
TE_BABJI_000000337,pannaెMDeLLake adbhutamaina kala
TE_BABJI_000000338,maddaెlacaెruvu sUri hatya kesulo repe tudi tIrpu
TE_BABJI_000000339,caMdrabAbu mATlADutuMDagATIArఎs pracAra rathaM
TE_BABJI_000000340,caMdrabAbu yuvajanAbhyudayaM
TE_BABJI_000000341,ArjIvIpai ఎnTIAr phyAns phiryAdu
TE_BABJI_000000342,kharagpUr aiaiTIlo cadivirU koTlu lUTI cesi
TE_BABJI_000000343,maro hAbIni nercukovaTAniki cinnArulakaెMdukaMta Asakti
TE_BABJI_000000344,iMDasTrI rikArDulu baddalu kaొTTe sinimA bharat ane nenu
TE_BABJI_000000345,saMcalanaM maొnne hasInku rUlakSa paMpina SamI
TE_BABJI_000000346,rAjadhAni riyalTIki DhillI daెbba
TE_BABJI_000000347,laiMgika vedhiMpula kesulo praొphaెsar bAbuluku rimAMD
TE_BABJI_000000348,Siyar vAl bephikar
TE_BABJI_000000349,zukravAraM jIhaెcఎMsI AdhvaryaMlo udyoga meLA
TE_BABJI_000000350,zabarimala Alaya borDu saMcalana nirNayaM
TE_BABJI_000000351,janasenaloki tvaralo iddaru mAjI ఎmmaెlyelu
TE_BABJI_000000352,oDina bhArat vaiTvAS tappiMcukolekapoyina TImiMDiyA
TE_BABJI_000000353,pralobha prajAsvAmyaM
TE_BABJI_000000354,kAMgraెsloki TIArఎs netala kyU
TE_BABJI_000000355,AMdoLanakara sthAyilo sIఎM ramez ArogyaM
TE_BABJI_000000356,saMkSemAniki oTestAro avinItiki oTestAro telcukovAli
TE_BABJI_000000357,hAsTallo kaluSita AhAraM
TE_BABJI_000000358,rilayans vArSikotsava samAvezaMlo UhiMcani atithi
TE_BABJI_000000359,pacci mAmiDi panhA
TE_BABJI_000000360,OMkAraM mokSasAdhanaM
TE_BABJI_000000361,tirumala kaొMDa ఎkkinaTTe ఎkki I bhaktuDu eM cezADo cUDaMDi
TE_BABJI_000000362,soMpu Sarbat
TE_BABJI_000000363,pAk sneha vinyAsAlu
TE_BABJI_000000364,DhillI nuMci rAgAne maMtrulu netalato caMdrabAbu bheTI
TE_BABJI_000000365,kavviMcina kohlI siMgil hyAMDto auT cesina pAMDyA
TE_BABJI_000000366,udyogAlu vadilesi gaొrraెlu kAsukovAlsi vastoMdi bhaTTi vikramArka
TE_BABJI_000000367,nAku padmazrI vaddu  svAmIjI
TE_BABJI_000000368,ApSanal paTla avagAhana
TE_BABJI_000000369,maLlI kSINiMcina rUpAyi
TE_BABJI_000000370,I baTar bAbu  nimuSAllo aMtapanI cezADu
TE_BABJI_000000371,kathAminArAviSkaraNa paricayaM
